"Tumor_T3" "Tumor_T4" "Tumor_T5" "HT1376_1" "HT1376_2" "RT4_1" "RT4_2" "SCABER_1" "SCABER_2" "SW780_1" "SW780_2" "Tumor_T1"
"ENSG00000000003.10" 21.28 3.25 6.81 16.62 12.23 57.1 111.94 22.86 26.82 52.19 42.38 12.5
"ENSG00000000005.5" 0 0 0 0 0 0 0.02 0 0 0 0 0
"ENSG00000000419.8" 15.06 11.42 13.44 173.26 140.47 103.6 62.17 102 72 84.37 51.02 4.56
"ENSG00000000457.9" 3.28 3.16 2.79 1 0.73 6.44 9.32 6.48 7.49 0.81 1.03 3.32
"ENSG00000000460.12" 2.79 3.13 4.68 22.42 13.05 6 8.92 19.08 14.11 2.45 1.93 1.56
"ENSG00000000938.8" 4.05 4.34 5.59 0.37 0.23 1.96 2.06 0.22 0.22 0.1 0.16 1.85
"ENSG00000000971.11" 77.4 13.08 25.96 0.21 0.18 158.63 275.09 24.72 30.33 0.35 0.59 1.63
"ENSG00000001036.9" 15.48 7.65 9.4 49.81 40.41 44.15 44.09 64.52 72.18 38.94 32.72 3.53
"ENSG00000001084.6" 27.54 13.05 4.79 5.01 3.92 157.08 129.38 30.44 86.74 4.58 2.83 11.13
"ENSG00000001167.10" 7.61 6.36 7.02 1.92 1.69 35.85 49.88 22.31 26.87 2.48 3.32 7.49
"ENSG00000001460.13" 3.13 1.03 1.29 3.66 3.16 4.93 7.62 7.64 7.01 2.78 3.84 1.42
"ENSG00000001461.12" 7.76 5.49 3.29 8.27 9.74 5.9 5.96 18.65 20.33 13.88 14.13 7.16
"ENSG00000001497.12" 6.24 6.74 5.72 38.57 34.67 28.83 12.89 20.09 15.31 23.96 28.77 2.72
"ENSG00000001561.6" 4.65 0.84 1.39 1.73 1.44 0.62 2.5 0.03 0 1.31 0.96 0.82
"ENSG00000001617.7" 10.31 13.49 3.89 7.48 7.44 57.85 97.64 22.87 15.49 0 0 11.33
"ENSG00000001626.10" 0.4 0.35 0 0 0 0.09 0 0 0 0 0 0.07
"ENSG00000001629.5" 14.06 7.09 14.91 2.77 4.88 42.42 51.34 29.21 74.84 16.68 12.71 12.74
"ENSG00000001630.11" 15.86 8.61 7.73 22.41 17.3 97.5 162.8 66.34 94.86 11.56 7.8 5.08
"ENSG00000001631.10" 23.12 13.21 15.59 2.95 11.36 38.55 43.98 27.8 38.68 5.46 6.06 10.6
"ENSG00000002016.12" 6.11 4.44 5.7 0.47 0.22 25.62 27.16 7.98 11.73 0.84 1.13 6.46
"ENSG00000002079.8" 0 0.01 4.1 0 0.01 0.04 0.1 1.25 1.49 0.14 3.09 0
"ENSG00000002330.9" 17.13 10.13 6.43 121.92 87.71 42.04 18.23 94.55 40.45 195.27 177.98 6.28
"ENSG00000002549.8" 27.09 34.03 87.46 38.18 29.47 95.85 43.66 56.98 43.51 9.41 8.31 8.05
"ENSG00000002586.13" 38.4 10.83 28.56 131.21 121.74 121.38 59.61 79 31.44 184.94 216.36 5.79
"ENSG00000002587.5" 10.45 2.06 1.12 0.94 1.27 15.44 4.57 11.78 5.81 1.5 1.83 2.69
"ENSG00000002726.15" 0.62 0.32 0.38 0.19 0 0 0.18 0.31 0.43 2.02 2.98 0.03
"ENSG00000002745.8" 0.01 0.06 0 9.17 8.37 0.07 0.05 1.08 1.12 0.05 0.11 0
"ENSG00000002746.10" 1.25 0.18 0.63 0 0 0 0 1.49 1.16 0.26 1.16 0.03
"ENSG00000002822.11" 6.77 9.71 10.8 8.16 8.46 18.74 17.33 46.73 29.25 15.18 32.59 12.02
"ENSG00000002834.13" 28.48 24.65 27.52 47.86 36.75 127.71 131.36 147.16 133.26 69.65 93.81 46.64
"ENSG00000002919.10" 6.17 5.21 4.15 14.1 8.27 13.37 11.04 9.67 10.01 10.22 6.81 2.88
"ENSG00000002933.3" 22.24 7.58 14 0 0 0 0 0 0 0 0 0.84
"ENSG00000003056.3" 38.97 25.82 67.29 42.71 26.78 236.97 275.81 192.76 266.59 43.47 45.5 17.49
"ENSG00000003096.9" 5.18 0.89 0.34 0.41 0.11 1.64 5.92 20.31 21.04 1.93 1.13 0.81
"ENSG00000003137.4" 0.83 0.34 2.25 0.74 0.24 3.25 1.58 7.03 3.57 1.46 1.15 0.03
"ENSG00000003147.13" 12.05 1.92 3.22 1.96 3.91 61.35 65.27 1.86 2.31 6.59 9.29 23.69
"ENSG00000003249.9" 0.29 0.44 0.62 0.99 0.63 3.81 4.17 1.31 0.72 5.29 9.36 4.33
"ENSG00000003393.10" 7.01 3.27 5.74 3.3 2.43 20.59 21.26 14.52 21.58 1.73 1.25 7.16
"ENSG00000003400.10" 10.17 13.5 8.49 0.05 0.08 5.64 8.84 4.32 6.95 0.82 1.17 2.27
"ENSG00000003402.15" 58.29 39.65 74.33 15.55 11.59 19.56 47.28 16.78 38.86 9.8 11.87 17.71
"ENSG00000003436.10" 46.5 2.14 12.35 1.5 2.36 1.67 4.12 12.22 24.07 24.54 20.65 6.51
"ENSG00000003509.11" 9 3.61 5.02 5.65 5.2 14.75 18.89 10.78 18.46 6.61 6.24 1.89
"ENSG00000003756.12" 51.95 29.22 38.39 6.41 5.93 106.48 164.68 38.53 72.23 0 0.13 54.3
"ENSG00000003987.9" 0.09 0 0.18 0.09 0.11 2.13 1.61 0.37 0.44 0.33 0.11 0.39
"ENSG00000003989.12" 6.98 0.47 21.76 0.34 0.31 31.3 5.64 0.66 0.18 1.99 1.44 1.09
"ENSG00000004059.6" 30.45 19.64 22.58 291.2 208.55 129.38 107.05 197.15 121.22 259.31 213.85 10.6
"ENSG00000004139.9" 3.18 0.8 1.41 0.09 0.02 8.79 11.47 0.88 0.26 0.2 0.63 4.03
"ENSG00000004142.7" 10.75 14.22 7.55 69.71 41.37 65.79 44.58 71.08 52.98 42.21 43.38 3.64
"ENSG00000004399.8" 29.11 14 38.35 6.35 9.41 5.94 2.66 15.09 7.38 5.91 10.55 8.62
"ENSG00000004455.12" 31.23 29.33 29.28 203.05 141.87 223.49 135.05 196.22 212.33 62 49.69 15.24
"ENSG00000004468.8" 3.57 9.79 9.02 0.01 0.01 0.03 0.1 0.06 0.18 0 0.07 0.23
"ENSG00000004478.5" 19.67 16.7 47.87 96.02 71.32 96.25 171.14 102.15 123.47 48.01 45.16 21.69
"ENSG00000004487.11" 17.59 13.01 11.02 20.93 18.2 67.67 64.98 178.53 129.07 43.13 36.24 20.06
"ENSG00000004534.10" 27.23 17.74 25.9 6.72 13.67 94.59 130.92 36.46 54.89 2.35 1.55 39.46
"ENSG00000004660.10" 2.31 0.74 0.87 0.48 0.4 3.32 3.8 3.08 2.72 1.98 2.38 0.51
"ENSG00000004700.11" 13.07 6.26 14.08 2.7 2.41 16.21 36.04 39.34 69.73 3.61 3.14 4.99
"ENSG00000004766.11" 12.57 4.63 5.8 3.41 2.6 9.28 16.28 13.74 20.98 1.95 1.35 5.36
"ENSG00000004776.7" 29.91 0.1 0.77 0 0.06 0.17 0 0.94 0.19 0.16 0.09 0
"ENSG00000004777.14" 1.41 1.53 0.95 0.05 0.03 1.59 1.58 1.85 1.9 0.74 1.05 0.98
"ENSG00000004779.5" 23.56 11.06 10.25 483.82 343.7 72.59 36.55 111.72 48.54 190.23 116.89 9.21
