"gene_id" "chromosome" "geneStart"
"1" "ENSG00000000003.10" "chrX" 99883667
"2" "ENSG00000000005.5" "chrX" 99839799
"3" "ENSG00000000419.8" "chr20" 49551404
"4" "ENSG00000000457.9" "chr1" 169818772
"5" "ENSG00000000460.12" "chr1" 169631245
"6" "ENSG00000000938.8" "chr1" 27938575
"7" "ENSG00000000971.11" "chr1" 196621008
"8" "ENSG00000001036.9" "chr6" 143815948
"9" "ENSG00000001084.6" "chr6" 53362139
"10" "ENSG00000001167.10" "chr6" 41040684
"11" "ENSG00000001460.13" "chr1" 24683489
"12" "ENSG00000001461.12" "chr1" 24742284
"13" "ENSG00000001497.12" "chrX" 64732462
"14" "ENSG00000001561.6" "chr6" 46097730
"15" "ENSG00000001617.7" "chr3" 50192478
"16" "ENSG00000001626.10" "chr7" 117105838
"17" "ENSG00000001629.5" "chr7" 91875548
"18" "ENSG00000001630.11" "chr7" 91741465
"19" "ENSG00000001631.10" "chr7" 91828283
"20" "ENSG00000002016.12" "chr12" 1021243
"21" "ENSG00000002330.9" "chr11" 64037302
"22" "ENSG00000002549.8" "chr4" 17578815
"23" "ENSG00000002586.13" "chrX" 2609220
"24" "ENSG00000002587.5" "chr4" 11394774
"25" "ENSG00000002726.15" "chr7" 150521715
"26" "ENSG00000002745.8" "chr7" 120965421
"27" "ENSG00000002746.10" "chr7" 43152198
"28" "ENSG00000002822.11" "chr7" 1855429
"29" "ENSG00000002834.13" "chr17" 37026112
"30" "ENSG00000002919.10" "chr17" 46180719
"31" "ENSG00000002933.3" "chr7" 150497491
"32" "ENSG00000003056.3" "chr12" 9092959
"33" "ENSG00000003096.9" "chrX" 117031776
"34" "ENSG00000003137.4" "chr2" 72356367
"35" "ENSG00000003147.13" "chr7" 8152814
"36" "ENSG00000003393.10" "chr2" 202565277
"37" "ENSG00000003400.10" "chr2" 202047604
"38" "ENSG00000003402.15" "chr2" 201980827
"39" "ENSG00000003436.10" "chr2" 188328957
"40" "ENSG00000003509.11" "chr2" 37458774
"41" "ENSG00000003756.12" "chr3" 50126341
"42" "ENSG00000003987.9" "chr8" 17155539
"43" "ENSG00000003989.12" "chr8" 17354597
"44" "ENSG00000004059.6" "chr7" 127228399
"45" "ENSG00000004139.9" "chr17" 26691378
"46" "ENSG00000004142.7" "chr17" 26673659
"47" "ENSG00000004399.8" "chr3" 129274018
"48" "ENSG00000004455.12" "chr1" 33473585
"49" "ENSG00000004468.8" "chr4" 15779898
"50" "ENSG00000004478.5" "chr12" 2904119
"51" "ENSG00000004487.11" "chr1" 23345941
"52" "ENSG00000004534.10" "chr3" 49977440
"53" "ENSG00000004660.10" "chr17" 3763609
"54" "ENSG00000004700.11" "chr12" 21621845
"55" "ENSG00000004766.11" "chr7" 92861653
"56" "ENSG00000004776.7" "chr19" 36245469
